asana_name,asana_type,pose_type,description,benefits,target_age_group,difficulty_level,duration_secs,repetition,Body_Parts,Focus_Area,Precautions,Pain_Points
Marichyasana C,Hatha,Twist,"Sit with one leg extended, one bent, twist toward bent knee","Improves spinal mobility, aids digestion, detoxifying",18-65,Intermediate,25,"8-45: 3 reps each side, 45+: 2 reps each side",['Back/Spine'],"['Digestion Support', 'Detoxification', 'Flexibility/Stretching']","['Back injuries', 'Pregnancy']","['Digestive issues', 'Spinal stiffness']"
Bharadvajasana,Hatha,Twist,"Sit to one side of legs, twist toward legs","Gentle spinal twist, therapeutic for back",20-70,Intermediate,30,"8-45: 3 reps each side, 45+: 2 reps each side",['Back/Spine'],"['Flexibility/Stretching', 'Posture Improvement', 'Detoxification', 'Stress Relief/Calming', 'Digestion Support']",['Back injuries'],"['Spinal stiffness', 'Lower back pain']"
Simple Twist,Hatha,Twist,"Sit cross-legged, place hand behind hip, twist gently","Improves spinal mobility, aids digestion, relieves tension",10-75,Beginner,25,"8-45: 4 reps each side, 45+: 3 reps each side",['Back/Spine'],"['Digestion Support', 'Flexibility/Stretching']",['Generally safe for all'],"['Stress/anxiety', 'Digestive issues', 'Spinal stiffness']"
Sleeping Pigeon,Hatha,Seated,"From pigeon, fold forward over front leg completely","Deep hip opener, calming, releases stored emotions",16-65,Intermediate,60,"8-45: 2 reps each side, 45+: 1 rep each side",['Hips'],['Stress Relief/Calming'],['Knee problems/injuries'],"['Stress/anxiety', 'Hip tightness', 'Emotional stress', 'Sciatica']"
Thread Needle,Hatha,Prone,"On hands and knees, thread one arm under other, rest shoulder down","Releases shoulder and neck tension, gentle twist",12-70,Beginner,30,"8-45: 4 reps each side, 45+: 3 reps each side","['Shoulders', 'Neck']","['Flexibility/Stretching', 'Posture Improvement', 'Stress Relief/Calming', 'Relaxation/Restorative', 'Emotional Release']",['Generally safe for all'],"['Neck stiffness', 'Shoulder tension/stiffness', 'Upper back pain/stiffness', 'Lower back pain']"
Puppy Pose,Hatha,Prone,"From hands and knees, walk hands forward, chest toward ground","Heart opener, shoulder stretch, calming",10-70,Beginner,35,"8-45: 4 reps, 45+: 3 reps","['Chest/Heart', 'Shoulders']",['Stress Relief/Calming'],['Generally safe for all'],"['Stress/anxiety', 'Chest tightness', 'Shoulder tension/stiffness']"
Ragdoll,Hatha,Forward Bend,"Forward fold with arms crossed, sway gently side to side","Releases spine tension, calms nervous system",12-70,Beginner,40,"8-45: 3 reps, 45+: 2 reps","['Back/Spine', 'Nervous System']",['Stress Relief/Calming'],"['Back injuries', 'Low blood pressure']","['Stress/anxiety', 'Spinal stiffness', 'Hamstring tightness']"
Standing Figure 4,Hatha,Standing,"Stand, place ankle on opposite thigh, sit back into hip","Hip opener while standing, improves balance",15-65,Intermediate,25,"8-45: 4 reps each side, 45+: 3 reps each side",['Hips'],['Balance/Stability'],['Hip injuries'],"['Hip tightness', 'Balance issues', 'IT band tightness']"
High Lunge,Power,Standing,"Step back into lunge, back leg straight, arms up","Strengthens legs, opens hip flexors, builds heat",15-60,Beginner,25,"8-45: 8 reps each side, 45+: 5 reps each side","['Hip Flexors', 'Legs/Thighs', 'Hips']",['Strength Building'],['Knee problems/injuries'],"['Leg weakness', 'Balance issues', 'Hip flexor tightness']"
Low Lunge,Hatha,Seated,"Step back, drop back knee, hands on front thigh or ground","Opens hip flexors, stretches thighs gently",12-70,Beginner,30,"8-45: 6 reps each side, 45+: 4 reps each side","['Hip Flexors', 'Legs/Thighs', 'Hips']",['Flexibility/Stretching'],['Knee problems/injuries'],"['Thigh tightness', 'Hip flexor tightness']"
Warrior Flow,Power,Standing,"Flow between Warrior I, II, and reverse warrior","Dynamic sequence, builds strength and flexibility",16-60,Intermediate,60,"8-45: 3 flows each side, 45+: 2 flows each side","['Hamstrings', 'Quadriceps', 'Glutes/Buttocks', 'Hip Flexors', 'Core/Abdomen', 'Shoulders', 'Back/Spine', 'Calves', 'Ankles/Feet']","['Strength Building', 'Flexibility/Stretching']","['Knee problems/injuries', 'High blood pressure']","['Hip tightness', 'Leg weakness']"
Sun Salutation A,Power,Flow,"Classic vinyasa sequence with forward fold, lunge, downward dog","Full body warm-up, builds strength and flexibility",12-65,Intermediate,90,"8-45: 5 rounds, 45+: 3 rounds","['Back/Spine', 'Arms/Wrists', 'Legs/Thighs', 'Core/Abdomen']","['Strength Building', 'Flexibility/Stretching']","['Wrist injuries', 'Pregnancy']","['Low energy', 'Poor circulation']"
Sun Salutation B,Power,Flow,Extended sun salutation with Warrior I,More challenging vinyasa with warrior poses,16-60,Intermediate,120,"8-45: 4 rounds, 45+: 2 rounds","['Hamstrings', 'Quadriceps', 'Calves', 'Glutes/Buttocks', 'Hip Flexors', 'Core/Abdomen', 'Back/Spine', 'Shoulders', 'Chest/Heart', 'Arms/Wrists', 'Ankles/Feet']","['Flexibility/Stretching', 'Strength Building', 'Balance/Stability', 'Cardiovascular Fitness', 'Coordination', 'Endurance Building', 'Energy Building', 'Posture Improvement', 'Breathing Improvement']","['Wrist injuries', 'High blood pressure']","['Leg weakness', 'Low energy']"
Moon Salutation,Hatha,Flow,Gentle lunar sequence focusing on lateral movements,"Calming flow, balances solar energy, side body opening",10-70,Beginner,180,"8-45: 2 rounds, 45+: 1 round","['Hamstrings', 'Quadriceps', 'Calves', 'Glutes/Buttocks', 'Hip Flexors', 'Core/Abdomen', 'Back/Spine', 'Shoulders', 'Chest/Heart', 'Arms/Wrists', 'Ankles/Feet', 'Neck']","['Stress Relief/Calming', 'Balance/Stability', 'Energy Building']",['Generally safe for all'],"['Stress/anxiety', 'Overstimulation', 'Side body tightness']"
Cat Pulling Tail,Hatha,Supine,"Lie on side, grab top foot, gentle twist and backbend",Combines spinal twist with quad stretch,15-65,Intermediate,30,"8-45: 3 reps each side, 45+: 2 reps each side","['Back/Spine', 'Quadriceps']","['Flexibility/Stretching', 'Emotional Release', 'Stress Relief/Calming', 'Digestion Support', 'Posture Improvement']",['Knee problems/injuries'],"['Quadricep tightness', 'Spinal stiffness']"
Wind Relieving,Hatha,Supine,"Lie supine, hug knees to chest, rock gently","Aids digestion, releases lower back, calming",8-80,Beginner,30,"8-45: 4 reps, 45+: 3 reps",['Back/Spine'],"['Stress Relief/Calming', 'Digestion Support']",['Generally safe for all'],"['Stress/anxiety', 'Digestive issues', 'Lower back pain']"
Knee to Chest,Hatha,Supine,"Lie supine, hug one knee to chest at a time","Releases lower back, aids digestion, gentle stretch",8-80,Beginner,20,"8-45: 5 reps each side, 45+: 3 reps each side",['Back/Spine'],['Digestion Support'],['Generally safe for all'],"['Digestive issues', 'Hip tightness', 'Lower back pain']"
Ankle to Knee,Hatha,Seated,"Sit with one ankle on opposite knee, fold forward","Hip opener, releases IT band, calms nervous system",16-70,Intermediate,35,"8-45: 3 reps each side, 45+: 2 reps each side","['IT Band', 'Hips', 'Nervous System']",['Stress Relief/Calming'],['Knee problems/injuries'],"['Stress/anxiety', 'Hip tightness', 'IT band tightness']"
Twisted Roots,Hatha,Seated,"Sit cross-legged, twist spine, hands on knees","Gentle spinal twist, improves digestion, grounding",12-75,Beginner,30,"8-45: 4 reps each side, 45+: 3 reps each side",['Back/Spine'],['Digestion Support'],['Generally safe for all'],"['Stress/anxiety', 'Digestive issues', 'Spinal stiffness']"
Supported Fish,Hatha,Backbend,"Lie over bolster or block, arms open, passive backbend","Gentle heart opening, relieves depression, restorative",10-80,Beginner,180,"8-45: 1 rep, 45+: 1 rep",['Chest/Heart'],['Relaxation/Restorative'],['Generally safe for all'],"['Stress/anxiety', 'Depression', 'Chest tightness']"
Supported Child,Hatha,Supine,Child's pose with bolster or pillow for support,"Deeply restorative, calms nervous system",8-80,Beginner,300,"8-45: 1 rep, 45+: 1 rep",['Nervous System'],"['Stress Relief/Calming', 'Relaxation/Restorative']",['Generally safe for all'],"['Stress/anxiety', 'Hip tightness']"
Legs Diamond Wall,Hatha,Supine,Lie with legs up wall in bound angle shape,Combines inversion benefits with hip opening,12-75,Beginner,180,"8-45: 1 rep, 45+: 1 rep",['Hips'],"['Relaxation/Restorative', 'Flexibility/Stretching', 'Stress Relief/Calming', 'Digestion Support', 'Emotional Release']",['Glaucoma/eye conditions'],"['Stress/anxiety', 'Hip tightness']"
Side Lying Twist,Hatha,Supine,"Lie on side, twist torso, top arm reaches back","Gentle spinal twist, good for pregnancy modifications",10-80,Beginner,45,"8-45: 2 reps each side, 45+: 1 rep each side",['Back/Spine'],"['Flexibility/Stretching', 'Relaxation/Restorative', 'Digestion Support', 'Stress Relief/Calming', 'Emotional Release']",['Generally safe for all'],"['Stress/anxiety', 'Digestive issues', 'Spinal stiffness']"
Banana Pose,Hatha,Supine,"Lie supine, shift hips and ribs to same side, crescent shape","Side body stretch, calms nervous system, yin style",12-70,Beginner,120,"8-45: 1 rep each side, 45+: 1 rep each side",['Nervous System'],['Stress Relief/Calming'],['Generally safe for all'],"['Stress/anxiety', 'Shallow breathing', 'Side body tightness']"
Supported Twist,Hatha,Supine,"Lie supine, knees to side with bolster support","Restorative twist, aids digestion, deeply relaxing",10-80,Beginner,180,"8-45: 1 rep each side, 45+: 1 rep each side","['Back/Spine', 'Core/Abdomen', 'Shoulders', 'Hips', 'Chest/Heart', 'Neck']","['Digestion Support', 'Relaxation/Restorative']",['Generally safe for all'],"['Stress/anxiety', 'Digestive issues', 'Spinal stiffness']"
Eagle Arms,Hatha,Seated,"Wrap arms around each other, lift elbows, stretch shoulders",Releases shoulder and upper back tension,10-75,Beginner,20,"8-45: 5 reps, 45+: 3 reps","['Back/Spine', 'Shoulders']","['Flexibility/Stretching', 'Posture Improvement', 'Stress Relief/Calming', 'Emotional Release']",['Generally safe for all'],"['Neck stiffness', 'Shoulder tension/stiffness', 'Upper back pain/stiffness', 'Lower back pain']"
Cow Face Arms,Hatha,Seated,"One arm up and back, other up from below, clasp hands","Opens shoulders, improves posture, releases tension",15-65,Intermediate,25,"8-45: 4 reps each side, 45+: 3 reps each side",['Shoulders'],['Posture Improvement'],['Shoulder injuries'],"['Poor posture', 'Shoulder tension/stiffness']"
Neck Rolls,Hatha,Seated,"Gently roll head in circles, both directions","Releases neck tension, improves mobility",10-75,Beginner,15,"8-45: 5 reps each direction, 45+: 3 reps each direction",['Neck'],"['Flexibility/Stretching', 'Stress Relief/Calming', 'Relaxation/Restorative', 'Posture Improvement']",['Neck injuries'],"['Stress/anxiety', 'Neck stiffness', 'Tension headaches']"
Shoulder Rolls,Hatha,Seated,Roll shoulders forward and backward in circles,"Releases shoulder tension, improves posture",8-80,Beginner,10,"8-45: 8 reps each direction, 45+: 5 reps each direction",['Shoulders'],['Posture Improvement'],['Generally safe for all'],"['Stress/anxiety', 'Poor posture', 'Shoulder tension/stiffness']"
Wrist Circles,Hatha,Seated,Circle wrists in both directions,"Prevents carpal tunnel, releases wrist tension",8-80,Beginner,10,"8-45: 8 reps each direction, 45+: 5 reps each direction",['Arms/Wrists'],"['Flexibility/Stretching', 'Strength Building', 'Coordination', 'Posture Improvement']",['Generally safe for all'],['Wrist stiffness/pain']
Ankle Circles,Hatha,Seated,Circle ankles in both directions,"Improves ankle mobility, prevents stiffness",8-80,Beginner,10,"8-45: 8 reps each direction, 45+: 5 reps each direction",['Ankles/Feet'],"['Flexibility/Stretching', 'Coordination', 'Balance/Stability', 'Posture Improvement']",['Generally safe for all'],"['Ankle stiffness', 'Poor circulation']"
Hip Circles,Hatha,Standing,"Stand with hands on hips, circle hips both directions","Warms hip joints, improves mobility",10-70,Beginner,15,"8-45: 6 reps each direction, 45+: 4 reps each direction","['Arms/Wrists', 'Hips']","['Flexibility/Stretching', 'Coordination', 'Balance/Stability', 'Posture Improvement']",['Generally safe for all'],['Lower back pain']
Arm Swings,Power,Standing,"Swing arms forward and back, side to side","Warms shoulders, improves circulation",8-75,Beginner,15,"8-45: 10 reps each direction, 45+: 6 reps each direction","['Shoulders', 'Arms/Wrists']",['Circulation Enhancement'],['Generally safe for all'],"['Low energy', 'Shoulder tension/stiffness', 'Poor circulation']"
Leg Swings,Power,Standing,"Hold wall, swing leg forward/back, side to side","Warms hip joints, improves dynamic flexibility",12-70,Beginner,15,"8-45: 8 reps each direction, 45+: 5 reps each direction","['Arms/Wrists', 'Hips']",['Flexibility/Stretching'],['Generally safe for all'],['Poor circulation']
Torso Twists,Hatha,Standing,"Stand with arms crossed, twist torso side to side","Warms spine, improves spinal mobility",10-75,Beginner,15,"8-45: 8 reps each side, 45+: 5 reps each side","['Back/Spine', 'Arms/Wrists']",['Flexibility/Stretching'],['Generally safe for all'],['Spinal stiffness']
Standing Backbend,Hatha,Standing,"Stand with hands on lower back, gentle arch backward","Opens chest, counteracts forward posture",15-65,Beginner,15,"8-45: 5 reps, 45+: 3 reps",['Chest/Heart'],['Posture Improvement'],['Back injuries'],"['Poor posture', 'Chest tightness', 'Upper back pain/stiffness', 'Lower back pain']"
Standing Side Bend,Hatha,Standing,"Stand with arms overhead, lean to one side","Stretches side body, improves spinal flexibility",10-75,Beginner,15,"8-45: 6 reps each side, 45+: 4 reps each side",['Back/Spine'],['Flexibility/Stretching'],['Generally safe for all'],"['Side body tightness', 'Spinal stiffness']"
Cactus Arms,Hatha,Standing,"Arms in goal post position, squeeze shoulder blades","Improves posture, opens chest, strengthens upper back",12-75,Beginner,15,"8-45: 8 reps, 45+: 5 reps","['Back/Spine', 'Chest/Heart']","['Strength Building', 'Posture Improvement']",['Generally safe for all'],"['Chest tightness', 'Poor posture']"
Marching in Place,Power,Standing,"Lift knees alternately, pump arms","Cardiovascular warm-up, improves coordination",8-70,Beginner,30,"8-45: 2 sets, 45+: 1 set",['Arms/Wrists'],"['Coordination', 'Cardiovascular Fitness']",['Generally safe for all'],"['Low energy', 'Poor circulation']"
Jumping Jacks,Power,Standing,"Jump feet apart while raising arms, return to start","Cardiovascular exercise, full body warm-up",12-55,Intermediate,30,"8-45: 2 sets, 45+: 1 set","['Back/Spine', 'Arms/Wrists', 'Legs/Thighs', 'Core/Abdomen']",['Cardiovascular Fitness'],"['Knee problems/injuries', 'Heart conditions']","['Cardiovascular fitness', 'Low energy', 'Poor circulation']"
Mountain Climbers,Power,Prone,"From plank, alternate bringing knees to chest rapidly","High-intensity cardio, core strengthening",16-50,Advanced,20,"8-45: 3 sets, 45+: 2 sets",['Core/Abdomen'],"['Cardiovascular Fitness', 'Strength Building']",['Back injuries'],"['Cardiovascular fitness', 'Core weakness']"
Burpees,Power,Standing,"Squat, jump back to plank, push-up, jump forward, jump up",Full body high-intensity exercise,18-45,Advanced,30,"8-45: 2 sets, 45+: 1 set","['Back/Spine', 'Arms/Wrists', 'Legs/Thighs', 'Core/Abdomen']","['Strength Building', 'Cardiovascular Fitness', 'Endurance Building', 'Coordination', 'Energy Building']",['Heart conditions'],['Cardiovascular fitness']
Bear Crawl,Power,Prone,"Crawl on hands and feet, knees hovering above ground","Builds total body strength, improves coordination",16-55,Intermediate,20,"8-45: 3 sets, 45+: 2 sets","['Arms/Wrists', 'Shoulders', 'Core/Abdomen', 'Glutes/Buttocks', 'Quadriceps', 'Hamstrings', 'Calves', 'Ankles/Feet', 'Back/Spine']","['Coordination', 'Strength Building']",['Shoulder injuries'],"['Poor coordination', 'Core weakness']"
Crab Walk,Power,Supine,Walk on hands and feet with belly facing up,"Strengthens arms and glutes, improves coordination",14-60,Intermediate,20,"8-45: 2 sets, 45+: 1 set","['Arms/Wrists', 'Glutes/Buttocks']","['Coordination', 'Strength Building']",['Shoulder injuries'],"['Arm weakness', 'Poor coordination']"
Frog Jumps,Power,Squat,"Deep squat position, jump forward explosively","Builds leg power, improves cardiovascular fitness",16-50,Intermediate,20,"8-45: 2 sets, 45+: 1 set",['Legs/Thighs'],['Cardiovascular Fitness'],['Knee problems/injuries'],"['Cardiovascular fitness', 'Leg weakness']"
Duck Walk,Power,Squat,Walk in deep squat position,Builds leg strength and endurance,16-55,Intermediate,20,"8-45: 2 sets, 45+: 1 set",['Legs/Thighs'],"['Endurance Building', 'Strength Building']",['Knee problems/injuries'],['Leg weakness']
Hollow Body Hold,Power,Supine,"Lie supine, press lower back down, lift shoulders and legs","Core strengthening, improves body awareness",14-60,Intermediate,20,"8-45: 5 reps, 45+: 3 reps",['Core/Abdomen'],['Strength Building'],['Generally safe for all'],"['Core weakness', 'Poor posture']"
Superman Hold,Power,Prone,"Lie prone, lift chest and legs simultaneously, hold","Strengthens entire back body, improves posture",12-65,Beginner,15,"8-45: 6 reps, 45+: 4 reps",['Back/Spine'],"['Strength Building', 'Posture Improvement']",['Generally safe for all'],['Poor posture']
Wall Sit,Power,Standing,"Back against wall, slide down to squat position, hold","Builds leg endurance, strengthens quadriceps",14-65,Intermediate,30,"8-45: 3 reps, 45+: 2 reps","['Quadriceps', 'Legs/Thighs']","['Endurance Building', 'Strength Building']",['Knee problems/injuries'],['Leg weakness']
Single Leg Deadlift,Power,Standing,"Stand on one leg, hinge at hip, reach toward ground","Strengthens glutes and hamstrings, improves balance",18-60,Intermediate,15,"8-45: 6 reps each leg, 45+: 4 reps each leg","['Glutes/Buttocks', 'Hamstrings']","['Balance/Stability', 'Strength Building']",['Back injuries'],['Balance issues']
Warrior III Pulses,Power,Balance,"From Warrior III, pulse leg up and down while balancing","Dynamic balance challenge, builds stability",18-55,Advanced,15,"8-45: 3 sets each leg, 45+: 2 sets each leg","['Hamstrings', 'Quadriceps', 'Glutes/Buttocks', 'Core/Abdomen', 'Calves', 'Ankles/Feet', 'Back/Spine', 'Shoulders']",['Balance/Stability'],['Balance disorders'],"['Core weakness', 'Balance issues', 'Leg weakness']"
Tree Pose Twists,Power,Balance,"From tree pose, twist torso side to side",Dynamic balance with spinal mobility,16-60,Intermediate,20,"8-45: 4 reps each side, 45+: 3 reps each side",['Back/Spine'],['Balance/Stability'],['Balance disorders'],"['Balance issues', 'Spinal stiffness']"
Standing Pigeon Circles,Power,Balance,"From standing pigeon, circle the lifted leg",Hip mobility with balance challenge,18-55,Intermediate,20,"8-45: 3 circles each direction, 45+: 2 circles each direction",['Hips'],['Balance/Stability'],['Knee problems/injuries'],['Balance issues']
Dynamic Warrior II,Power,Standing,"Flow between Warrior II and straight leg, pulsing",Dynamic leg strengthening,16-60,Intermediate,30,"8-45: 2 sets each side, 45+: 1 set each side",['Legs/Thighs'],['Strength Building'],['Knee problems/injuries'],['Leg weakness']
Twisted Chair Pulses,Power,Standing,"From twisted chair, pulse up and down",Combines strength with spinal twist,18-55,Advanced,20,"8-45: 2 sets each side, 45+: 1 set each side",['Back/Spine'],['Strength Building'],['Knee problems/injuries'],"['Leg weakness', 'Spinal stiffness']"
Power Squat Flow,Power,Standing,"Flow between chair pose, squat, and goddess pose",Lower body strengthening sequence,16-60,Intermediate,45,"8-45: 3 flows, 45+: 2 flows","['Quadriceps', 'Hamstrings', 'Glutes/Buttocks', 'Core/Abdomen', 'Calves', 'Ankles/Feet', 'Hip Flexors', 'Back/Spine', 'Shoulders']",['Strength Building'],['Knee problems/injuries'],['Leg weakness']
Vinyasa Flow,Power,Flow,Chaturanga to upward dog to downward dog sequence,"Classic power yoga transition, builds heat",16-55,Intermediate,20,"8-45: 8 flows, 45+: 5 flows","['Hamstrings', 'Quadriceps', 'Calves', 'Glutes/Buttocks', 'Hip Flexors', 'Core/Abdomen', 'Back/Spine', 'Shoulders', 'Chest/Heart', 'Arms/Wrists', 'Ankles/Feet']","['Flexibility/Stretching', 'Strength Building', 'Balance/Stability', 'Cardiovascular Fitness', 'Coordination', 'Endurance Building', 'Energy Building', 'Breathing Improvement', 'Posture Improvement']",['Shoulder injuries'],['Arm weakness']
Heart Bench,Hatha,Backbend,"Sit with legs extended, hands behind, lift chest and hips","Gentle backbend, opens chest, strengthens arms",15-65,Intermediate,20,"8-45: 5 reps, 45+: 3 reps","['Back/Spine', 'Chest/Heart', 'Arms/Wrists']",['Strength Building'],['Wrist injuries'],"['Arm weakness', 'Chest tightness', 'Poor posture']"
Reverse Plank,Power,Backbend,"Sit with legs extended, hands behind, lift into plank","Strengthens arms and back, opens chest",18-60,Intermediate,15,"8-45: 4 reps, 45+: 3 reps","['Back/Spine', 'Chest/Heart', 'Arms/Wrists']",['Strength Building'],['Shoulder injuries'],"['Arm weakness', 'Chest tightness', 'Poor posture']"
Twisted Lunge Reach,Power,Twist,"From twisted lunge, reach top arm toward ceiling",Dynamic spinal twist with leg strength,18-60,Advanced,15,"8-45: 5 reps each side, 45+: 3 reps each side","['Back/Spine', 'Legs/Thighs']",['Strength Building'],['Knee problems/injuries'],"['Hip flexor tightness', 'Spinal stiffness']"
Flying Warrior III,Power,Balance,"From Warrior III, reach arms forward like flying","Advanced balance pose, full body integration",20-50,Advanced,15,"8-45: 3 reps each side, 45+: 2 reps each side","['Back/Spine', 'Arms/Wrists', 'Legs/Thighs', 'Core/Abdomen']",['Balance/Stability'],['Balance disorders'],"['Core weakness', 'Balance issues']"
Goddess Twist Flow,Power,Twist,"From goddess pose, alternate twisting left and right",Dynamic twist with leg strengthening,16-60,Intermediate,30,"8-45: 2 flows, 45+: 1 flow",['Legs/Thighs'],['Strength Building'],['Generally safe for all'],"['Leg weakness', 'Spinal stiffness']"
Star Pose,Hatha,Standing,"Stand with legs wide, arms extended, create star shape","Opens entire body, builds confidence, energizing",10-70,Beginner,20,"8-45: 4 reps, 45+: 3 reps","['Back/Spine', 'Arms/Wrists', 'Legs/Thighs', 'Core/Abdomen']",['Energy Building'],['Generally safe for all'],"['Low energy', 'Poor posture']"
Meditation Pose,Hatha,Seated,Any comfortable seated position for meditation,"Calms mind, reduces stress, improves focus",5-80,Beginner,600,"8-45: 1 session, 45+: 1 session","['Back/Spine', 'Core/Abdomen', 'Hips', 'Knees', 'Ankles/Feet', 'Neck']","['Stress Relief/Calming', 'Meditation/Focus']",['Generally safe for all'],"['Stress/anxiety', 'Poor concentration']"
